T final =45.0, Filters Used 2 Grad-div 0

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
1e-06,1e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3e-06,2e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
7e-06,4e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5e-05,8e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1e-05,1.6e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,3.2e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000127,6.4e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000255,0.000128,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000511,0.000256,1,0.0,0.0,0.0,0.0,0.0,0.0
0.001023,0.000512,1,0.0,0.0,0.0,0.0,0.0,0.0
0.002047,0.001024,1,0.0,0.0,0.0,0.0,0.0,0.0
0.004095,0.002048,1,0.0,0.0,0.0,0.0,0.0,0.0
0.008191,0.004096,1,0.0,0.0,0.0,0.0,0.0,0.0
0.016383,0.008192,1,0.0,0.0,0.0,0.0,0.0,0.0
0.032767,0.016384,1,0.0,0.0,0.0,0.0,0.0,0.0
0.065535,0.032768,1,0.0,0.0,0.0,0.0,0.0,0.0
0.131071,0.065536,1,0.0,0.0,0.0,0.0,0.0,0.0
0.262143,0.131072,1,0.0,0.0,0.0,0.0,0.0,0.0
0.524287,0.262144,1,0.0,0.0,0.0,0.0,0.0,0.0
1.048575,0.524288,1,0.0,0.0,0.0,0.0,0.0,0.0
2.097151,1.048576,1,0.0,0.0,0.0,0.0,0.0,0.0
4.194303,2.097152,1,0.0,0.0,0.0,0.0,0.0,0.0
8.388607,4.194304,1,0.0,0.0,0.0,0.0,0.0,0.0
16.777215,8.388608,1,2.515774460372146,6.756337827501961e-06,4.442877177655044,1.5625497707293172,1.927109329950793,1.5707898155377535
22.1632461021,5.38603110213,1,1.3148696830901052,1.3580451215467375,0.0,0.0,1.314869683090105,1.3580451215467375
27.3575357733,5.19428967114,1,0.12904183751912426,0.001954436111021505,0.0,0.0,0.12904183751912426,0.001954436111021505
34.196506163,6.83897038974,1,2.126434578605092,0.16324218669490895,4.442877177655044,1.5625497707293172,2.3164492117177833,1.4075476290684295
38.587906503,4.39140034002,1,3.9820186733965324,0.9247861428170678,4.442877177655044,1.5625497707293172,0.4608651169289606,0.646003673845071
44.8497540268,6.26184752381,1,2.63906837104938,3.4958259603399857,0.0,0.0,2.6390683710493796,3.4958259603399853
45.0,0.150245973169,1,2.042508038520305,0.5407802632258188,0.0,0.0,2.042508038520305,0.5407802632258188
END
tolerance, l2L2 error, l2H1 error, l2L2 Pressure error, 	Number Of Rejections, Starting Step Size, Elapsed Time
1.0,0.562243168012,NOT CALCULATED,1.5997097168,2,1e-06,32.298937559127815
